Entity,Code,Year,Prevalence - Mental and substance use disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Mental and substance use disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent,latitude,longitude,Number of women with mental and substance use disorder,Number of men with mental and substance use disorder
Belgium,BEL,2015,14.3163516815,15.639846007,11287931.0,Europe,50.6402809,4.6667145,1765415.0257764151,1616019.8995250599
Belize,BLZ,2015,13.3806009481,13.465907657,360926.0,North America,16.8259793,-88.7600927,48601.96187010382,48294.0677779394
Benin,BEN,2015,11.8944832257,11.6917590804,10575962.0,Africa,9.5293472,2.2584408,1236515.9974746536,1257956.0260464062
Bermuda,BMU,2015,13.511195335699998,13.9108257276,63695.0,North America,32.30382,-64.7561647,8860.500447194821,8605.955869074114
Bhutan,BTN,2015,11.6118751821,12.2163675804,727885.0,Asia,27.549511,90.5119273,88921.10716259453,84521.09766922859
Bolivia,BOL,2015,12.1510951063,13.3393675164,10869732.0,South America,-17.0568696,-64.9912286,1449953.499527736,1320791.473119925
Bosnia and Herzegovina,BIH,2015,10.8146911643,11.1032462536,3429362.0,Europe,44.3053476,17.5961467,380770.507787382,370874.90920586174
Botswana,BWA,2015,12.9626354567,12.1328861175,2120716.0,Africa,-23.1681782,24.5928742,257304.0571556013,274900.68415190995
Brazil,BRA,2015,13.1376672966,15.9806282927,204471759.0,South America,-10.3333333,-53.2,32675871.76933536,26862819.41292577
Brunei,BRN,2015,11.1466179752,11.71350337,414914.0,Asia,4.4137155,114.5653908,48600.9653726018,46248.87850562133
Bulgaria,BGR,2015,11.0494626651,11.3775105183,7199739.0,Europe,42.6073975,25.4856617,819151.0620151472,795532.4727896441
Burkina Faso,BFA,2015,11.9992602328,11.6533612701,18110616.0,Africa,12.0753083,-1.6880314,2110495.510720534,2173139.9436031138
Burundi,BDI,2015,12.514291477,13.2961468671,10160034.0,Africa,-3.426449,29.9324519,1350893.0423872948,1271456.2689223022
Cambodia,KHM,2015,11.0936796658,11.9572840857,15521435.0,Asia,12.5433216,104.8144914,1855942.0771272697,1721898.2784353641
Cameroon,CMR,2015,11.8682163894,11.7575974244,23298376.0,Africa,4.6125522,13.1535811,2739329.256503028,2765101.678896036
Canada,CAN,2015,15.2399132235,15.6058155361,36026668.0,North America,61.0666922,-107.991707,5622255.351883167,5490432.9405184435
Cape Verde,CPV,2015,12.7669723446,11.9266482838,524740.0,Africa,16.0000552,-24.0083947,62583.89420441212,66993.41068105404
Central African Republic,CAF,2015,12.8454422796,12.531883809,4493171.0,Africa,7.0323598,19.9981227,563078.9690596834,577167.6873287262
Chad,TCD,2015,12.0672431121,12.1468442333,14110971.0,Africa,15.6134137,19.0156172,1714037.6671761351,1702805.1760479284
Chile,CHL,2015,13.9574598081,17.979973611200002,17969356.0,South America,-31.7613365,-71.3187697,3230885.4669025843,2508065.641474406
China,CHN,2015,11.3947493376,11.4417205366,1406847868.0,Asia,35.000074,104.999927,160967601.43167526,160306788.11996973
Colombia,COL,2015,10.4057592334,9.62680285688,47520667.0,South America,4.099917,-72.9088133,4574720.9283644315,4944886.194125767
Comoros,COM,2015,11.8148260819,12.6343327106,777435.0,Africa,-12.2045176,44.2832964,98223.72450865312,91852.59314981927
Congo,COG,2015,12.2962438298,12.3034255904,4856093.0,Africa,-2.9814344,23.8222636,597465.7888556231,597117.0358818497
Costa Rica,CRI,2015,10.9957228669,11.048213861,4847805.0,North America,10.2735633,-84.0739102,535595.863964251,533051.2029277215
Cote d'Ivoire,CIV,2015,11.5983520875,11.3132800664,23226148.0,Africa,7.9897371,-5.5679458,2627639.1718765628,2693850.4214038397
Croatia,HRV,2015,11.3712595221,11.4794004761,4232874.0,Europe,45.3658443,15.6575209,485908.5581087131,481331.0877834952
Cuba,CUB,2015,13.9771385994,14.1752673878,11324777.0,North America,23.0131338,-80.8328748,1605317.4208220753,1582879.7773629734
Cyprus,CYP,2015,13.0896995339,15.273578454,1160987.0,Europe,34.9823018,33.1451285,177324.26028574098,151969.70992763957
Czechia,CZE,2015,11.2771967736,11.3660527319,10601390.0,Europe,49.7439047,15.3381061,1204959.5777143734,1195539.611036753
Democratic Republic of Congo,COD,2015,12.6487027809,12.3755311363,76244532.0,Africa,-15.4139213,28.289698,9435665.797386218,9643944.239368191
Denmark,DNK,2015,13.300404679700002,15.2032251746,5688695.0,Europe,55.670249,10.3333283,864865.1103462115,756619.45599386
Djibouti,DJI,2015,12.2285899118,12.9166775249,913998.0,Africa,11.8145966,42.8453061,118058.1742440355,111769.06722205377
Dominica,DMA,2015,13.1848199618,13.3369473044,71175.0,North America,19.0974031,-70.3028026,9492.572243906701,9384.295607811151
Dominican Republic,DOM,2015,13.2866608332,13.814945583900002,10281675.0,North America,19.0974031,-70.3028026,1420407.8063634506,1366091.2852219162
Ecuador,ECU,2015,12.3599224681,13.1635009384,16212022.0,South America,-1.3397668,-79.3666965,2134069.6681036144,2003793.349711315
Egypt,EGY,2015,14.2540722756,14.8951610985,92442549.0,Africa,26.2540493,29.2675469,13769466.5971098,13176827.747866945
El Salvador,SLV,2015,10.7807867597,11.1513727517,6325121.0,North America,13.8000382,-88.9140683,705337.8197060546,681897.8073030043
Equatorial Guinea,GNQ,2015,12.4083714048,12.3748885277,1168575.0,Africa,1.613172,10.5170357,144609.85361257027,145001.1261436416
Eritrea,ERI,2015,12.3802531728,13.133397319099998,3342818.0,Africa,15.9500319,37.9999668,439025.5695943922,413849.3315059295
Estonia,EST,2015,11.8087012954,12.1368277634,1315330.0,Europe,58.7523778,25.3319078,159639.3366203292,155323.39074878482
Eswatini,SWZ,2015,13.0219896197,11.9784347043,1104038.0,Africa,-26.5624806,31.3991317,132246.47094065964,143767.71375754348
