Entity,Code,Year,Prevalence - Depressive disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent,latitude,longitude
South Africa,ZAF,2015,3.43779972257202,5.18832535559057,55386369.0,Africa,-28.8166236,24.991639
South Korea,KOR,2015,1.85155357813179,2.7487164025559103,50823087.0,Asia,36.638392,127.6961188
South Sudan,SSD,2015,3.88981384384334,5.68295919117065,10715657.0,Africa,7.8699431,29.6667897
Spain,ESP,2015,3.47860416707986,6.48235513859944,46671919.0,Europe,39.3260685,-4.8379791
Sri Lanka,LKA,2015,2.6930958262589297,3.27672821780155,20908024.0,Asia,7.877395849999999,80.66247852355892
Sudan,SDN,2015,4.02374202485091,5.11067087129723,38902948.0,Africa,14.5844444,29.4917691
Suriname,SUR,2015,3.82021797830956,5.95895405072421,559136.0,South America,4.1413025,-56.0771187
Sweden,SWE,2015,3.19925399976655,5.743987767267409,9764949.0,Europe,59.6749712,14.5208584
Switzerland,CHE,2015,3.27963287075604,4.86752234307879,8296775.0,Europe,46.7985624,8.2319736
Syria,SYR,2015,3.4775479037507004,4.91059099896942,17997411.0,Asia,34.6401861,39.0494106
Taiwan,TWN,2015,2.0479920095247297,3.44217573298826,23557473.0,Asia,23.9739374,120.9820179
Tajikistan,TJK,2015,2.1851025100249,3.64102041105507,8454019.0,Asia,38.6281733,70.8156541
Tanzania,TZA,2015,3.77089347263587,5.55183503410798,51482638.0,Africa,-6.5247123,35.7878438
Thailand,THA,2015,2.56180819917703,3.41688562486918,68714519.0,Asia,14.8971921,100.83273
Timor,TLS,2015,2.546489241728,3.2229410704037704,1196294.0,Asia,-9.346017100000001,124.63707741045215
Togo,TGO,2015,3.62216992412878,5.33385793761994,7323162.0,Africa,8.7800265,1.0199765
Tokelau,TKL,2015,2.78420785679956,3.7476642604539903,1247.0,Oceania,-9.1676396,-171.819687
Tonga,TON,2015,2.25843257272683,3.2774248610365904,100780.0,Oceania,-19.9160819,-175.202642
Trinidad and Tobago,TTO,2015,3.2690032528325004,4.71849692167963,1370332.0,North America,10.7466905,-61.0840075
Tunisia,TUN,2015,4.43651784453206,6.07526962878762,11179951.0,Africa,33.8439408,9.400138
Turkey,TUR,2015,3.02883938052524,5.475389741415819,78529413.0,Asia,38.9597594,34.9249653
Turkmenistan,TKM,2015,2.50202823704944,3.9123826079195902,5565283.0,Asia,39.3763807,59.3924609
Tuvalu,TUV,2015,2.75969650170164,3.73349348562662,11099.0,Oceania,-8.6405212,179.1582918181797
Uganda,UGA,2015,5.71883268427508,7.531400141414981,38225447.0,Africa,1.5333554,32.2166578
Ukraine,UKR,2015,3.45468947453371,4.77194764564996,44921636.0,Europe,49.4871968,31.2718321
United Arab Emirates,ARE,2015,3.43519773125734,4.563284683486691,9262896.0,Asia,24.0002488,53.9994829
